,company_size,joined,location,market,pitch,raised,signal,stage,title,website
0,-,2011-02-01 00:00:00,Delhi,Advertising Platforms,"
A Do-it-yourself Social Media Advertising Platform
",$12000,4,Seed,Zuvvu,zuvvu.com
1,-,2011-03-01 00:00:00,Rome,iPhone,"
Express yourself ! - Take a picture,  apply a  ""Like"" or ""Dislike""  badge and share it
",$10000,4,Seed,YepLike!,yeplike.com
2,-,2011-09-01 00:00:00,Memphis,Location Based Services,"
Turn your smartphone into a loyalty card 
",$15000,4,Seed,stiQRd,stiqrd.com
3,1-10,2011-11-01 00:00:00,Nashville,B2B,"
Increase brand awareness, engage employees
",$15000,4,Seed,Meevl,meevl.com
4,-,2011-11-01 00:00:00,Chicago,B2B,"
Netflix of travel
",$10000,4,Seed,Farehelper,farehelper.com?ref=angellist
5,-,2011-11-01 00:00:00,Boston,Curated Web,"
portable customer generated content for online businesses
",$15000,4,Seed,Lemonwise,lemonwi.se
6,1-10,2013-01-01 00:00:00,Los Angeles,Lead Generation,"
Brand ambassadors as a Service
",$15000,4,,Gumball,getgumball.com
7,1-10,2012-12-01 00:00:00,Chicago,K-12 Education,"
Accelerating Professional Growth
",$15000,3,Seed,Edventory,edventory.com
8,11-50,2013-02-01 00:00:00,Copenhagen,Social Media Platforms,"
Kickstarting great careers
",$15000,4,Seed,Graduateland,graduateland.com
9,1-10,2013-07-01 00:00:00,Chicago,B2B,"
Creating a bond for business that lasts beyond the first visit.
",$10000,4,,Icarus Ascending,Icarusascending.net
10,1-10,2013-06-01 00:00:00,Ann Arbor,iPad,"
Effective patient education
",$15000,4,Seed,SurgeryEdu,surgeryedu.com
11,1-10,2013-12-01 00:00:00,Singapore,Big Data,"
Social Engagement and Business Intelligence Platform
",$11700,4,-,enMarkit,enmarkit.com
12,1-10,2013-11-01 00:00:00,Dubuque,Beauty,"
No Squeeze Toothpaste Dispenser - Developed by HCP
",$13500,4,,Nu-B-2B,nu-b-2b.net
13,1-10,2014-03-01 00:00:00,Boston,College Campuses,"
Match schedules and make plans with nearby friends
",$12500,3,Seed,Downtyme,downty.me
14,1-10,2014-02-01 00:00:00,New York City,Fashion,"
a full design firm that creates custom Indian inspired clothing from scratch.
",$10000,4,,WESTxEAST,westxeast.com
15,1-10,2014-02-01 00:00:00,Miamisburg,Financial Exchanges,"
Bitcoin trading made easy
",$15000,4,Acquired,BitQuick,bitquick.co
16,,2014-06-01 00:00:00,New York City,Neuroscience,"
Lumosity for sports and more
",$10000,3,Seed,Neuroscout,neuroscout.com
17,1-10,2015-03-01 00:00:00,San Francisco,E-Books,"
Book suggestions from your friends and influencers
",$10000,4,,bookmarq,bookmarq.io
18,1-10,2015-04-01 00:00:00,San Francisco,Lifestyle Businesses,"
Providing faster emergency response
",$10000,4,,Lifey,lifeyband.com
19,,2015-05-01 00:00:00,New York City,Same Day Delivery,"
Personalized Meal Delivery
",$10000,4,Seed,Curplated,Curplated.com
20,1-10,2011-07-01 00:00:00,Lisbon,Location Based Services,"
The marketplace for engagement. The currency for loyalty
",$15000,3,,Mobitto,mobitto.com
21,-,2011-12-01 00:00:00,San Diego,Computer Vision,"
New way to organize, browse and share your photos.  Acquired by Dropbox (09-2012).
",$15000,3,-,Anchovi Labs,anchovi.com
22,-,2012-01-01 00:00:00,-,-,"
",$15000,3,Seed,Yunno,yunno.com
23,1-10,2012-03-01 00:00:00,Memphis,Payments,"
100% safe online shopping. Finally.
",$15000,3,-,Paytopia,paytopia.com
24,1-10,2012-06-01 00:00:00,Cincinnati,Marketplaces,"
Bringing Everything Home.
",$15000,3,Seed,Dwllr,dwllr.com
25,11-50,2013-06-01 00:00:00,Denver,Brand Marketing,"
Management platform for promotional swag
",$10000,3,Seed,Printfection,printfection.com
26,1-10,2012-09-01 00:00:00,Washington DC,Messaging,"
Valuable Digital Messages
",$13000,3,Seed,Gramicon,gramicon.com
27,1-10,2012-11-01 00:00:00,Norfolk,Technology,"
Constant Contact for Text and Call Alerts
",$15000,3,-,RoboCent,RoboCent.com
28,1-10,2013-01-01 00:00:00,Indianapolis,Mobile Games,"
Mobile and web app development
",$10000,3,Seed,TINITT,tinitt.com
29,1-10,2013-01-01 00:00:00,Sacramento,Mobile Advertising,"
Cubikal is building a tech platform designed to reinvent how we use and receive deals.
",$10000,3,Seed,Cubikal,Cubikal.com
30,1-10,2013-01-01 00:00:00,Taipei,Startups,"
The Ultimate Startup Guide
",$10000,3,Seed,StartitUp,startitup.co
31,-,2013-05-01 00:00:00,Cheyenne,Outdoors,"
Social network for the Outdoor Community
",$14700,3,Seed,Sportsmanlist,sportsmanlist.com
32,1-10,2013-02-01 00:00:00,London,Nightlife,"
What's going on near you?
",$10000,3,Seed,Lamppost,lamppostapp.com
33,1-10,2014-02-01 00:00:00,Detroit,Journalism,"
Birchbox for journalism
",$10000,3,Seed,Jaunt,byjaunt.com
34,1-10,2013-07-01 00:00:00,New York City,Education,"
Never study alone
",$10000,3,Seed,Kipinhall,kipinhall.com
35,1-10,2013-09-01 00:00:00,New York City,Big Data,"
Giving music back to the people
",$15000,3,,Spotlight.fm,spotlight.fm
36,1-10,2013-11-01 00:00:00,Orlando,Energy Efficiency,"
low cost clean energy for homes
",$10000,3,Seed,Santh CleanEnergy Microgrid (SCEM),santhenergy.com
37,1-10,2014-02-01 00:00:00,Silicon Valley,Productivity Software,"
Intelligent cross device continuity
",$12000,3,,Limitless,angel.co
38,1-10,2014-05-01 00:00:00,Chicago,Location Based Services,"
Smart Assistants
",$10000,3,,Bellhop,iChauncey.com
39,,2015-05-01 00:00:00,Los Angeles,Cloud-Based Music,"
Restoring Music Ownership
",$10000,3,,SongBank,song-bank.com
40,1-10,2011-07-01 00:00:00,Lisbon,Location Based Services,"
The marketplace for engagement. The currency for loyalty
",$15000,3,,Mobitto,mobitto.com
41,-,2011-12-01 00:00:00,San Diego,Computer Vision,"
New way to organize, browse and share your photos.  Acquired by Dropbox (09-2012).
",$15000,3,-,Anchovi Labs,anchovi.com
42,-,2012-01-01 00:00:00,-,-,"
",$15000,3,Seed,Yunno,yunno.com
43,1-10,2012-03-01 00:00:00,Memphis,Payments,"
100% safe online shopping. Finally.
",$15000,3,-,Paytopia,paytopia.com
44,1-10,2012-06-01 00:00:00,Cincinnati,Marketplaces,"
Bringing Everything Home.
",$15000,3,Seed,Dwllr,dwllr.com
45,11-50,2013-06-01 00:00:00,Denver,Brand Marketing,"
Management platform for promotional swag
",$10000,3,Seed,Printfection,printfection.com
46,1-10,2012-09-01 00:00:00,Washington DC,Messaging,"
Valuable Digital Messages
",$13000,3,Seed,Gramicon,gramicon.com
47,1-10,2012-11-01 00:00:00,Norfolk,Technology,"
Constant Contact for Text and Call Alerts
",$15000,3,-,RoboCent,RoboCent.com
48,1-10,2013-01-01 00:00:00,Indianapolis,Mobile Games,"
Mobile and web app development
",$10000,3,Seed,TINITT,tinitt.com
49,1-10,2013-01-01 00:00:00,Sacramento,Mobile Advertising,"
Cubikal is building a tech platform designed to reinvent how we use and receive deals.
",$10000,3,Seed,Cubikal,Cubikal.com
50,1-10,2013-01-01 00:00:00,Taipei,Startups,"
The Ultimate Startup Guide
",$10000,3,Seed,StartitUp,startitup.co
51,-,2013-05-01 00:00:00,Cheyenne,Outdoors,"
Social network for the Outdoor Community
",$14700,3,Seed,Sportsmanlist,sportsmanlist.com
52,1-10,2013-02-01 00:00:00,London,Nightlife,"
What's going on near you?
",$10000,3,Seed,Lamppost,lamppostapp.com
53,1-10,2014-02-01 00:00:00,Detroit,Journalism,"
Birchbox for journalism
",$10000,3,Seed,Jaunt,byjaunt.com
54,1-10,2013-07-01 00:00:00,New York City,Education,"
Never study alone
",$10000,3,Seed,Kipinhall,kipinhall.com
55,1-10,2013-09-01 00:00:00,New York City,Big Data,"
Giving music back to the people
",$15000,3,,Spotlight.fm,spotlight.fm
56,1-10,2013-11-01 00:00:00,Orlando,Energy Efficiency,"
low cost clean energy for homes
",$10000,3,Seed,Santh CleanEnergy Microgrid (SCEM),santhenergy.com
57,1-10,2014-02-01 00:00:00,Silicon Valley,Productivity Software,"
Intelligent cross device continuity
",$12000,3,,Limitless,angel.co
58,1-10,2014-05-01 00:00:00,Chicago,Location Based Services,"
Smart Assistants
",$10000,3,,Bellhop,iChauncey.com
59,,2015-05-01 00:00:00,Los Angeles,Cloud-Based Music,"
Restoring Music Ownership
",$10000,3,,SongBank,song-bank.com
60,-,2011-12-01 00:00:00,Warsaw,Small and Medium Businesses,"
Address book made for teamwork.
",$12000,3,Seed,descri,descriapp.com
61,-,2013-10-01 00:00:00,-,-,"
",$15000,3,Acquired,Ultris,-
62,1-10,2012-03-01 00:00:00,-,Shared Services,"
24/7 Motorcycle Remote Access Service
",$15000,3,Seed,Jupiters Motorcycles,jupitersmc.com
